,resp.id,ques,alt,Price,Brand,Type of Wine,Percentage of Alcohol,Aging time of Wine,Age,Sex,Employment status,Education,Ethnicity,Social Platforms,Physical Activities,Choice
0,1,1,Option 1,Value(3€-10€),Cavit,White wine,5.5 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
1,1,1,Option 2,Popular(10€-15€),Mezzacorona,White wine,18 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,1
2,1,1,Option 3,Premium(15€-30€),Ferrari,Rose wine,12 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,0
3,1,1,Option 4,Popular(10€-15€),Ferrari,Rose wine,18 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,0
4,1,2,Option 1,Premium(15€-30€),Mezzacorona,Sparkling wine,7 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,1
5,1,2,Option 2,Value(3€-10€),Cantina Toblino,Rose wine,12 %,5 years,1,Female,Student,Masters,German,Instagram,Moderate,0
6,1,2,Option 3,Luxury(50€-100€),Ferrari,Sparkling wine,12 %,2 years,1,Female,Student,Masters,German,Instagram,Moderate,0
7,1,2,Option 4,Luxury(50€-100€),Mezzacorona,Red wine,7 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,0
8,1,3,Option 1,Luxury(50€-100€),Ferrari,White wine,7 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,0
9,1,3,Option 2,Value(3€-10€),Cantina Toblino,Sparkling wine,7 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,0
10,1,3,Option 3,Luxury(50€-100€),Ferrari,Rose wine,7 %,5 years,1,Female,Student,Masters,German,Instagram,Moderate,0
11,1,3,Option 4,Value(3€-10€),Ferrari,Red wine,18 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,1
12,1,4,Option 1,Luxury(50€-100€),Cantina Toblino,White wine,12 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
13,1,4,Option 2,Value(3€-10€),Cavit,Rose wine,7 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,1
14,1,4,Option 3,Premium(15€-30€),Cavit,Red wine,7 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
15,1,4,Option 4,Premium(15€-30€),Ferrari,Red wine,7 %,2 years,1,Female,Student,Masters,German,Instagram,Moderate,0
16,1,5,Option 1,Value(3€-10€),Cavit,Rose wine,5.5 %,2 years,1,Female,Student,Masters,German,Instagram,Moderate,0
17,1,5,Option 2,Premium(15€-30€),Mezzacorona,Sparkling wine,18 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
18,1,5,Option 3,Popular(10€-15€),Ferrari,Sparkling wine,18 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,1
19,1,5,Option 4,Value(3€-10€),Mezzacorona,Sparkling wine,18 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,0
20,1,6,Option 1,Popular(10€-15€),Cantina Toblino,White wine,18 %,1 year ,1,Female,Student,Masters,German,Instagram,Moderate,1
21,1,6,Option 2,Popular(10€-15€),Cantina Toblino,Sparkling wine,7 %,5 years,1,Female,Student,Masters,German,Instagram,Moderate,0
22,1,6,Option 3,Luxury(50€-100€),Cantina Toblino,Sparkling wine,5.5 %,5 years,1,Female,Student,Masters,German,Instagram,Moderate,0
23,1,6,Option 4,Popular(10€-15€),Cantina Toblino,Rose wine,12 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
24,1,7,Option 1,Value(3€-10€),Cantina Toblino,Sparkling wine,5.5 %,4 years,1,Female,Student,Masters,German,Instagram,Moderate,0
25,1,7,Option 2,Popular(10€-15€),Cavit,White wine,5.5 %,5 years,1,Female,Student,Masters,German,Instagram,Moderate,0
26,1,7,Option 3,Popular(10€-15€),Ferrari,Rose wine,5.5 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,0
27,1,7,Option 4,Value(3€-10€),Cantina Toblino,Red wine,7 %,3 years,1,Female,Student,Masters,German,Instagram,Moderate,1
28,2,1,Option 1,Popular(10€-15€),Ferrari,White wine,18 %,3 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
29,2,1,Option 2,Premium(15€-30€),Ferrari,Red wine,18 %,5 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,1
30,2,1,Option 3,Popular(10€-15€),Cantina Toblino,Rose wine,7 %,2 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
31,2,1,Option 4,Value(3€-10€),Cantina Toblino,Rose wine,7 %,1 year ,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
32,2,2,Option 1,Luxury(50€-100€),Ferrari,Sparkling wine,5.5 %,2 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,1
33,2,2,Option 2,Premium(15€-30€),Cavit,Sparkling wine,7 %,4 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
34,2,2,Option 3,Luxury(50€-100€),Cantina Toblino,Rose wine,12 %,4 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
35,2,2,Option 4,Value(3€-10€),Cantina Toblino,Sparkling wine,7 %,1 year ,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
36,2,3,Option 1,Premium(15€-30€),Cavit,White wine,12 %,4 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
37,2,3,Option 2,Popular(10€-15€),Cantina Toblino,White wine,7 %,4 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
38,2,3,Option 3,Luxury(50€-100€),Cavit,Red wine,7 %,4 years,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,0
39,2,3,Option 4,Value(3€-10€),Mezzacorona,Sparkling wine,7 %,1 year ,1,Male,Student,Masters,Italian,"Instagram,Twitter",Moderate,1
